modell,term,koef,se,p_t,klustre,n,pst,ki95_lav,ki95_hoy
E0 K + egd per kohort,tidlig_egd,0.017379246970760587,0.0035617094454425346,4.619169568103888e-05,27,837,1.7531144763927031,0.010056372350930737,0.024702121590590438
E0 K + egd per kohort,sent_egd,0.011287797762164938,0.003628671834204604,0.004490793402460416,27,837,1.1351745333911367,0.003827248471040272,0.018748347053289604
E0 K + egd per kohort,tidlig_post,0.0326086630365315,0.0033379545933952706,3.4408929420017757e-10,27,837,3.3146151842716742,0.025745828392510828,0.03947149768055218
E0 K + egd per kohort,sent_post,0.028802894674000084,0.00290221651803622,2.4821785073476426e-10,27,837,2.9221709400365725,0.022835937512917615,0.03476985183508255
E1 K + egd per kohort,tidlig_egd,0.017384394530049592,0.00356382222377976,4.636867891647967e-05,27,837,1.7536382579304233,0.010057176037958405,0.02471161302214078
E1 K + egd per kohort,sent_egd,0.010340071452463639,0.0036691304157746435,0.009108999921314299,27,837,1.0393714723611058,0.002796339317630972,0.017883803587296306
E1 K + egd per kohort,tidlig_post,0.032647678473511736,0.003337503078925484,3.347674859748473e-10,27,837,3.318646127763536,0.025785772143240942,0.039509584803782534
E1 K + egd per kohort,sent_post,0.0143231914288371,0.005974053777875838,0.02397975658382883,27,837,1.442625983678525,0.002040536861524377,0.026605845996149825
E1 K + egd per kohort,sent_dose,0.02022732141223894,0.005845919292925092,0.0018770069519440625,27,837,2.0433279997600806,0.008208111345984951,0.03224653147849293
E4 K + egd per kohort,tidlig_egd,0.017340623461069505,0.003548897998525996,4.537796831360751e-05,27,837,1.7491844898850584,0.010044089176100057,0.024637157746038953
E4 K + egd per kohort,sent_egd,0.009455528682658386,0.003469519344861808,0.011338796402519743,27,837,0.9500373426135411,0.0023221969096225087,0.016588860455694264
E4 K + egd per kohort,tidlig_post,0.03155987339091631,0.003250524186405193,3.9056650658761935e-10,27,837,3.206316686724109,0.024876795663667232,0.038242951118165384
E4 K + egd per kohort,sent_dose,0.03725334581338457,0.003232205146426473,1.01915074161008e-11,27,837,3.7955949325074068,0.03060793203233174,0.0438987595944374
E1 K + bestilt×egd,bestilt_egd,0.014270872918595,0.00360553587719348,0.0005215110776811325,27,837,1.4373187954453082,0.006857891155085206,0.021683854682104795
E1 K + bestilt×egd,tidlig_post,0.03244048607807032,0.0033284837950049236,3.610193276939289e-10,27,837,3.297241507492399,0.025597123395540197,0.03928384876060044
E1 K + bestilt×egd,sent_post,0.01911034794718484,0.006515410664600711,0.006919029539956336,27,837,1.9294119425488754,0.005714663620765777,0.03250603227360391
E1 K + bestilt×egd,sent_dose,0.013847793394380296,0.006911338893772404,0.05563349168927132,27,837,1.3944118200430955,-0.0003619193712157652,0.028057506159976358
E1 K + dose_lead,tidlig_post,0.031483223022899826,0.0032224166895651486,3.433559001223106e-10,27,837,3.198406187743652,0.02485793430915388,0.03810851173664577
E1 K + dose_lead,sent_post,0.012596815681604211,0.008144892470945242,0.13404866622867243,27,837,1.2676489759339882,-0.004149083238659205,0.029342714601867628
E1 K + dose_lead,sent_dose,0.019831784696255846,0.009600676368491514,0.048960690594248256,27,837,2.0029740981660327,9.279408263729305e-05,0.0395707753098744
E1 K + dose_lead,sent_dose_lead,0.0015598345139247582,0.008139069075770677,0.8495069760031116,27,837,0.15610516885615766,-0.015174091505859752,0.01829376053370927
E4 K + dose_lead,tidlig_post,0.03113965393671751,0.0031718700744079857,3.107140867015414e-10,27,837,3.1629564956921152,0.02461828906373469,0.037661018809700325
E4 K + dose_lead,sent_dose,0.007200707335828572,0.016005628752842553,0.6565212528835273,27,837,0.7226694767412667,-0.025706865380015716,0.040108280051672864
E4 K + dose_lead,sent_dose_lead,0.026982129723312695,0.015007673761174713,0.0838180227350578,27,837,2.7349443580636734,-0.003873647529662516,0.057837906976287906
E1 K + sep 2025 per kohort,tidlig_sep25,0.004922990735145734,0.0025500394314664134,0.06451262297644245,27,837,0.49351285640004683,-0.00031989033594921265,0.01016587180624068
E1 K + sep 2025 per kohort,sent_sep25,0.0035278330158975153,0.0021767220250279965,0.11714674145075565,27,837,0.3534063142919708,-0.0009475074675600456,0.008003173499355077
