y,np_variabel,tids_fe,bruksareal,innt_form,innt_enhet,spot_enhet,gradtall,vekting,utvalg,N,n_kommuner,b_egd,b_spot_enhet,b_np,b_innt_enhet,r2_within,r2_overall,r2_ols_dummyer,mean_y,avvik_egd,avvik_spot,avvik_np,avvik_innt,avvik_r2,r2_variant,avvik_koef_sum,avstand
log_kwh,post_sep2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base17,uvektet,egd_kommunestasjon,7869,170,0.0019031611557527252,-0.0003689987490785884,0.08543122192644755,0.0008279278304220859,0.9380072483906219,0.14149518742079226,0.9936039868971275,15.633253985393724,0.0016637661856448295,0.26200250184282325,0.039309269178194044,0.6550300706574642,0.0004343519524550927,r2_within,0.9580056078641264,0.9584399598165815
log_kwh_per_maler,post_sep2025,ingen,uten,lineaer,10000_kr,ore_per_kwh,base17,n_mp,egd_kommunestasjon,7869,170,0.0018837051173382858,-0.00033654440473414093,0.06511070579259574,0.0033621411851805522,0.9602464761643325,0.21451724781633041,0.9642764270938102,6.899626471620341,0.00857625403248113,0.32691119053171813,0.20789895629445562,0.4008921604918969,0.024153664851037183,r2_within,0.9442785613505518,0.968432226201589
log_kwh,post_sep2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base18,uvektet,alle,10047,197,0.0018794521265273875,-0.000337864764536342,0.07893007805337897,0.0009590296654013545,0.9390883715567846,0.1589470740067931,0.9935036744855601,15.495846165775767,0.010814670248743411,0.324270470927316,0.039780072343321496,0.600404306082769,0.001587427001690067,r2_within,0.9752695196021498,0.9768569466038398
log_kwh,post_sep2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base18,uvektet,alle,10047,197,0.0018793765394259747,-0.0003376191184713608,0.07877697866698787,0.0009588050609823422,0.9390975887303632,0.1397077409475267,0.9935046575123059,15.495846165775767,0.010854452933697533,0.3247617630572784,0.041642595292118376,0.6004978912573574,0.0015972576049095653,r2_within,0.9777567025404517,0.9793539601453612
log_kwh,post_okt2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base17,uvektet,pa_entydig,6426,126,0.0018881104582653626,-0.00037780245054021207,0.09375170129784043,0.0009325669225801735,0.936267609408026,0.1305190137143366,0.993028695410148,15.411857521941595,0.006257653544545976,0.24439509891957586,0.14053164595912934,0.6114304489249277,0.0014210650511667945,r2_within,1.0026148473481789,1.0040359123993456
log_kwh,post_okt2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base17,uvektet,pa_entydig,6426,126,0.0018882257010527908,-0.0003789436679026199,0.09387385844008365,0.0009275129382717419,0.9362540908700602,0.1520548758093273,0.9930272166982264,15.411857521941595,0.006196999445899581,0.2421126641947602,0.1420177425800932,0.6135362757201075,0.0014354832870518506,r2_within,1.0038636819408606,1.0052991652279124
log_kwh_per_maler,post_okt2025,ingen,uten,lineaer,10000_kr,ore_per_kwh,base17,n_mp,alle,10047,197,0.001867984087265524,-0.0003387877689793268,0.07454556631761435,0.0037409209478934313,0.9591955578455058,0.2210254836845914,0.9634617100825033,6.896974484878452,0.016850480386566277,0.32242446204134645,0.09311963117257482,0.5587170616222632,0.023032804869353475,r2_within,0.9911116352227507,1.0141444400921042
log_kwh_per_maler,post_okt2025,ingen,med,lineaer,10000_kr,ore_per_kwh,base17,n_mp,alle,10047,197,0.0018679876668041466,-0.00033873451901471607,0.07462227962227348,0.0037545107911365855,0.9591959411683035,0.2339740968643439,0.9634620533284534,6.896974484878452,0.016848596418870203,0.3225309619705679,0.0921863792910768,0.5643794963069108,0.02303321370339542,r2_within,0.9959454339874256,1.0189786476908211
log_kwh,post_okt2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base18,uvektet,alle,10047,197,0.001866758752421601,-0.0003547108942042134,0.0931629717928458,0.0009289216402888888,0.9400281273034725,0.13976360462793513,0.9936039009840232,15.495846165775767,0.01749539346231527,0.29057821159157327,0.13336948653097086,0.6129493165462963,0.002589726219573941,r2_within,1.0543924081311555,1.0569821343507295
log_kwh_per_maler,post_sep2025,ingen,med,lineaer,10000_kr,ore_per_kwh,base17,n_mp,pa_entydig,6426,126,0.0018744007491730812,-0.0003342643111825121,0.06417219123503065,0.003529203593880439,0.9587672043739518,0.14150707488922676,0.9627439595176025,6.8791870903583,0.01347328990890461,0.33147137763497586,0.2193164083329604,0.47050149745018305,0.022575943231603893,r2_within,1.034762573327024,1.057338516558628
