modell,term,koef,pst,se_cluster,p_cluster_t,p_wcb,ki_wcb_lav,ki_wcb_hoy,ki_t_lav,ki_t_hoy,G,vekttype,B,se_wcb_intern,t_wcb_intern,N
E6 Husholdning Høy (9 klustre),sent_dose,0.006365652315459935,0.6385956139658866,0.00966303533319392,0.5285482840156243,0.407,-0.01525276271143711,0.04070078206378412,-0.01591734712150921,0.02864865175242908,9,webb,999,0.009537536041230893,0.6674315345005368,279
E6 Husholdning Lav (9 klustre),tidlig_post,0.04256493143605217,4.348380907623461,0.005269567899199688,4.073783114283027e-05,0.022,0.025089137835773535,0.06292363656562018,0.030413286069758558,0.054716576802345776,9,rademacher,999,0.005201129047700833,8.183786836603145,279
E6 Husholdning Lav (9 klustre),tidlig_post,0.04256493143605217,4.348380907623461,0.005269567899199688,4.073783114283027e-05,0.038,0.021760415245245003,0.06336944762685168,0.030413286069758558,0.054716576802345776,9,webb,999,0.005201129047700833,8.183786836603145,279
E6 Husholdning Lav (9 klustre),sent_dose,0.04098347563790494,4.183488974627836,0.014001504001549033,0.019083357442138956,0.082,-0.014295158638641128,0.09128703282972452,0.0086959495112552,0.07327100176455469,9,rademacher,999,0.013819658569157806,2.9655924878965876,279
E6 Husholdning Lav (9 klustre),sent_dose,0.04098347563790494,4.183488974627836,0.014001504001549033,0.019083357442138956,0.089,-0.014295158638641128,0.09239260551525713,0.0086959495112552,0.07327100176455469,9,webb,999,0.013819658569157806,2.9655924878965876,279
E6 Husholdning Medium (9 klustre),tidlig_post,0.028533976080306445,2.8944969757560335,0.0027417016182280794,6.2951164619811525e-06,0.003,0.024864696632958726,0.034236381998143814,0.02221160081117654,0.03485635134943635,9,rademacher,999,0.0027060935923899185,10.544341910608853,279
E6 Husholdning Medium (9 klustre),tidlig_post,0.028533976080306445,2.8944969757560335,0.0027417016182280794,6.2951164619811525e-06,0.015,0.0248641639956196,0.03422853824860065,0.02221160081117654,0.03485635134943635,9,webb,999,0.0027060935923899185,10.544341910608853,279
E6 Husholdning Medium (9 klustre),sent_dose,0.022293207018549532,2.254355746833947,0.013644396808058075,0.14092700624544338,0.115,-0.014404883901040047,0.058462229785964034,-0.009170828443198907,0.05375724248029797,9,rademacher,999,0.013467189328291182,1.6553719172656904,279
E6 Husholdning Medium (9 klustre),sent_dose,0.022293207018549532,2.254355746833947,0.013644396808058075,0.14092700624544338,0.108,-0.014260592586808354,0.06269477500342699,-0.009170828443198907,0.05375724248029797,9,webb,999,0.013467189328291182,1.6553719172656904,279
D6 Husholdning Høy (9 klustre),bestilt_post,0.023907689202083526,2.4195769198078754,0.0026479372560885275,1.8100921785355595e-05,0.025,0.013410935361401147,0.03440444304278034,0.01780153493978221,0.03001384346438484,9,rademacher,999,0.002624188460172399,9.11050771121831,279
D6 Husholdning Høy (9 klustre),bestilt_post,0.023907689202083526,2.4195769198078754,0.0026479372560885275,1.8100921785355595e-05,0.029,0.013410935361401147,0.03440444304278034,0.01780153493978221,0.03001384346438484,9,webb,999,0.002624188460172399,9.11050771121831,279
D6 Husholdning Lav (9 klustre),bestilt_post,0.03830895488892205,3.905220355134764,0.004396699622894503,2.349963718688769e-05,0.001,0.029229627395227314,0.0504003695450318,0.028170147377276734,0.048447762400567376,9,rademacher,999,0.004357266542738269,8.791969578445464,279
D6 Husholdning Lav (9 klustre),bestilt_post,0.03830895488892205,3.905220355134764,0.004396699622894503,2.349963718688769e-05,0.003,0.028461532502344615,0.05045120432136375,0.028170147377276734,0.048447762400567376,9,webb,999,0.004357266542738269,8.791969578445464,279
D6 Husholdning Medium (9 klustre),bestilt_post,0.02556656447096639,2.589619223501227,0.0029673522451205483,2.550587951784051e-05,0.001,0.014862275665199355,0.033212485046535394,0.01872383792311104,0.03240929101882174,9,rademacher,999,0.0029407386829064176,8.693925991992778,279
D6 Husholdning Medium (9 klustre),bestilt_post,0.02556656447096639,2.589619223501227,0.0029673522451205483,2.550587951784051e-05,0.006,0.014979905212515611,0.03339628121421705,0.01872383792311104,0.03240929101882174,9,webb,999,0.0029407386829064176,8.693925991992778,279
