modell,nullverdi,p_wcr,akseptert_5pst
D7_g_B999,0.018884762459991038,0.001,0
D7_g_B999,0.018891783999819597,0.001,0
D7_g_B999,0.018898805539648154,0.001,0
D7_g_B999,0.01890582707947671,0.001,0
D7_g_B999,0.01891284861930527,0.001,0
D7_g_B999,0.018919870159133826,0.001,0
D7_g_B999,0.018926891698962382,0.001,0
D7_g_B999,0.018933913238790942,0.001,0
D7_g_B999,0.0189409347786195,0.001,0
D7_g_B999,0.018947956318448055,0.001,0
D7_g_B999,0.018954977858276614,0.001,0
D7_g_B999,0.01896199939810517,0.001,0
D7_g_B999,0.018969020937933727,0.001,0
D7_g_B999,0.018976042477762287,0.001,0
D7_g_B999,0.018983064017590843,0.001,0
D7_g_B999,0.0189900855574194,0.001,0
D7_g_B999,0.01899710709724796,0.001,0
D7_g_B999,0.019004128637076515,0.001,0
D7_g_B999,0.019011150176905075,0.001,0
D7_g_B999,0.01901817171673363,0.001,0
D7_g_B999,0.019025193256562187,0.001,0
D7_g_B999,0.019032214796390747,0.001,0
D7_g_B999,0.019039236336219303,0.001,0
D7_g_B999,0.01904625787604786,0.001,0
D7_g_B999,0.01905327941587642,0.001,0
D7_g_B999,0.019060300955704976,0.001,0
D7_g_B999,0.019067322495533532,0.001,0
D7_g_B999,0.019074344035362092,0.001,0
D7_g_B999,0.019081365575190648,0.001,0
D7_g_B999,0.019088387115019204,0.001,0
D7_g_B999,0.019095408654847764,0.001,0
D7_g_B999,0.01910243019467632,0.001,0
D7_g_B999,0.01910945173450488,0.001,0
D7_g_B999,0.019116473274333436,0.001,0
D7_g_B999,0.019123494814161993,0.001,0
D7_g_B999,0.019130516353990552,0.001,0
D7_g_B999,0.01913753789381911,0.001,0
D7_g_B999,0.019144559433647665,0.001,0
D7_g_B999,0.019151580973476225,0.001,0
D7_g_B999,0.01915860251330478,0.001,0
D7_g_B999,0.019165624053133337,0.001,0
D7_g_B999,0.019172645592961897,0.001,0
D7_g_B999,0.019179667132790453,0.001,0
D7_g_B999,0.01918668867261901,0.001,0
D7_g_B999,0.01919371021244757,0.001,0
D7_g_B999,0.019200731752276125,0.001,0
D7_g_B999,0.019207753292104682,0.001,0
D7_g_B999,0.01921477483193324,0.001,0
D7_g_B999,0.019221796371761798,0.001,0
D7_g_B999,0.019228817911590354,0.001,0
D7_g_B999,0.019235839451418914,0.001,0
D7_g_B999,0.01924286099124747,0.001,0
D7_g_B999,0.019249882531076026,0.001,0
D7_g_B999,0.019256904070904586,0.001,0
D7_g_B999,0.019263925610733142,0.001,0
D7_g_B999,0.0192709471505617,0.001,0
D7_g_B999,0.01927796869039026,0.001,0
D7_g_B999,0.019284990230218815,0.001,0
D7_g_B999,0.01929201177004737,0.001,0
D7_g_B999,0.01929903330987593,0.001,0
D7_g_B999,0.019306054849704487,0.001,0
D7_g_B999,0.019313076389533043,0.001,0
D7_g_B999,0.019320097929361603,0.001,0
D7_g_B999,0.01932711946919016,0.001,0
D7_g_B999,0.019334141009018715,0.001,0
D7_g_B999,0.019341162548847275,0.001,0
D7_g_B999,0.01934818408867583,0.001,0
D7_g_B999,0.01935520562850439,0.001,0
D7_g_B999,0.019362227168332947,0.001,0
D7_g_B999,0.019369248708161504,0.001,0
D7_g_B999,0.019376270247990064,0.001,0
D7_g_B999,0.01938329178781862,0.001,0
D7_g_B999,0.019390313327647176,0.001,0
D7_g_B999,0.019397334867475736,0.001,0
D7_g_B999,0.019404356407304292,0.001,0
D7_g_B999,0.01941137794713285,0.001,0
D7_g_B999,0.019418399486961408,0.001,0
D7_g_B999,0.019425421026789964,0.001,0
D7_g_B999,0.01943244256661852,0.001,0
D7_g_B999,0.01943946410644708,0.001,0
D7_g_B999,0.019446485646275637,0.001,0
D7_g_B999,0.019453507186104193,0.001,0
D7_g_B999,0.019460528725932753,0.001,0
D7_g_B999,0.01946755026576131,0.001,0
D7_g_B999,0.01947457180558987,0.001,0
D7_g_B999,0.019481593345418425,0.001,0
D7_g_B999,0.01948861488524698,0.001,0
D7_g_B999,0.01949563642507554,0.001,0
D7_g_B999,0.019502657964904097,0.001,0
D7_g_B999,0.019509679504732653,0.001,0
D7_g_B999,0.019516701044561213,0.001,0
D7_g_B999,0.01952372258438977,0.001,0
D7_g_B999,0.019530744124218326,0.001,0
D7_g_B999,0.019537765664046886,0.001,0
D7_g_B999,0.019544787203875442,0.001,0
D7_g_B999,0.019551808743703998,0.001,0
D7_g_B999,0.019558830283532558,0.001,0
D7_g_B999,0.019565851823361114,0.001,0
D7_g_B999,0.01957287336318967,0.001,0
D7_g_B999,0.01957989490301823,0.001,0
D7_g_B999,0.019586916442846786,0.001,0
D7_g_B999,0.019593937982675343,0.001,0
D7_g_B999,0.019600959522503902,0.001,0
D7_g_B999,0.01960798106233246,0.001,0
D7_g_B999,0.019615002602161015,0.001,0
D7_g_B999,0.019622024141989575,0.001,0
D7_g_B999,0.01962904568181813,0.001,0
D7_g_B999,0.019636067221646687,0.001,0
D7_g_B999,0.019643088761475247,0.001,0
D7_g_B999,0.019650110301303803,0.001,0
D7_g_B999,0.01965713184113236,0.001,0
D7_g_B999,0.01966415338096092,0.001,0
D7_g_B999,0.019671174920789476,0.001,0
D7_g_B999,0.019678196460618032,0.001,0
D7_g_B999,0.01968521800044659,0.001,0
D7_g_B999,0.019692239540275148,0.001,0
D7_g_B999,0.019699261080103704,0.001,0
D7_g_B999,0.019706282619932264,0.001,0
D7_g_B999,0.01971330415976082,0.001,0
D7_g_B999,0.01972032569958938,0.001,0
D7_g_B999,0.019727347239417936,0.001,0
D7_g_B999,0.019734368779246492,0.001,0
D7_g_B999,0.019741390319075052,0.001,0
D7_g_B999,0.01974841185890361,0.001,0
D7_g_B999,0.019755433398732165,0.001,0
D7_g_B999,0.019762454938560724,0.001,0
D7_g_B999,0.01976947647838928,0.001,0
D7_g_B999,0.019776498018217837,0.001,0
D7_g_B999,0.019783519558046397,0.001,0
D7_g_B999,0.019790541097874953,0.001,0
D7_g_B999,0.019797562637703513,0.001,0
