modell,utelatt_g,utelatt_status,koef,se,p_t,full_koef,avvik_fra_full,n,klustre,matriserang
D7,NO5|Ikke bestilt|Husholdning Lav,Ikke bestilt,0.029599578094298806,0.002954998650132217,3.099681642584696e-10,0.029880493831513134,-0.0002809157372143274,806,26,330
D7,NO5|Ikke bestilt|Husholdning Medium,Ikke bestilt,0.030248916918523605,0.0030066852072312073,2.83820095850185e-10,0.029880493831513134,0.0003684230870104714,806,26,330
D7_placebo,NO1|Bestilt sent|Husholdning Høy,Bestilt sent,-0.0021880469290778137,0.0011926473741540515,0.07849125712054991,-0.001899285898546231,-0.0002887610305315827,624,26,267
D7_placebo,NO1|Bestilt sent|Husholdning Lav,Bestilt sent,-0.0016493264470227587,0.0013306942765362614,0.2266893094762625,-0.001899285898546231,0.0002499594515234724,624,26,267
D7_placebo,NO1|Bestilt sent|Husholdning Medium,Bestilt sent,-0.0020308402526971747,0.001302268551320974,0.13145742905927885,-0.001899285898546231,-0.0001315543541509437,624,26,267
D7_placebo,NO1|Bestilt tidlig|Husholdning Høy,Bestilt tidlig,-0.0015485541662911828,0.0013272920069768125,0.25433973195736664,-0.001899285898546231,0.0003507317322550482,624,26,267
D7_placebo,NO1|Bestilt tidlig|Husholdning Lav,Bestilt tidlig,-0.0017709838188082472,0.0013614560084804026,0.20518939252765903,-0.001899285898546231,0.00012830207973798385,624,26,267
D7_placebo,NO1|Bestilt tidlig|Husholdning Medium,Bestilt tidlig,-0.0014590194644270582,0.0011751826800845927,0.22593435108555363,-0.001899285898546231,0.0004402664341191728,624,26,267
D7_placebo,NO1|Ikke bestilt|Husholdning Høy,Ikke bestilt,-0.002024310770021742,0.0013678460778910662,0.1513855862068064,-0.001899285898546231,-0.00012502487147551117,624,26,267
D7_placebo,NO1|Ikke bestilt|Husholdning Lav,Ikke bestilt,-0.0012699421672124345,0.0015637592566108173,0.4243951410607031,-0.001899285898546231,0.0006293437313337966,624,26,267
D7_placebo,NO1|Ikke bestilt|Husholdning Medium,Ikke bestilt,-0.0012548985538813895,0.0013736090568672657,0.3696659442118147,-0.001899285898546231,0.0006443873446648415,624,26,267
D7_placebo,NO2|Bestilt sent|Husholdning Høy,Bestilt sent,-0.002073562843968091,0.0012107452930938268,0.09915797546798778,-0.001899285898546231,-0.00017427694542185984,624,26,267
D7_placebo,NO2|Bestilt sent|Husholdning Lav,Bestilt sent,-0.0020918321969460862,0.001164876986716996,0.08463128715281582,-0.001899285898546231,-0.0001925462983998552,624,26,267
D7_placebo,NO2|Bestilt sent|Husholdning Medium,Bestilt sent,-0.0019428914085999338,0.001261634333294468,0.13612836526912622,-0.001899285898546231,-4.360551005370278e-05,624,26,267
D7_placebo,NO2|Bestilt tidlig|Husholdning Høy,Bestilt tidlig,-0.0016129002176725749,0.0013165034744521552,0.2319407020775384,-0.001899285898546231,0.0002863856808736562,624,26,267
D7_placebo,NO2|Bestilt tidlig|Husholdning Lav,Bestilt tidlig,-0.002277292011235943,0.0010586122807589885,0.04131659154426433,-0.001899285898546231,-0.0003780061126897119,624,26,267
D7_placebo,NO2|Bestilt tidlig|Husholdning Medium,Bestilt tidlig,-0.00176218441921705,0.0012746935186309328,0.17906388286854003,-0.001899285898546231,0.0001371014793291811,624,26,267
D7_placebo,NO2|Ikke bestilt|Husholdning Høy,Ikke bestilt,-0.002004783290693979,0.0013040546919123965,0.13677008799765053,-0.001899285898546231,-0.00010549739214774784,624,26,267
D7_placebo,NO2|Ikke bestilt|Husholdning Lav,Ikke bestilt,-0.0029612025474889947,0.000848864375737441,0.001817461759023542,-0.001899285898546231,-0.0010619166489427637,624,26,267
D7_placebo,NO2|Ikke bestilt|Husholdning Medium,Ikke bestilt,-0.0017011115909184582,0.0014056376770791087,0.23751838397632732,-0.001899285898546231,0.00019817430762777283,624,26,267
D7_placebo,NO5|Bestilt sent|Husholdning Høy,Bestilt sent,-0.002000850214468386,0.0012450309991919625,0.12059754333923352,-0.001899285898546231,-0.00010156431592215492,624,26,267
D7_placebo,NO5|Bestilt sent|Husholdning Lav,Bestilt sent,-0.0020073550873931367,0.0012556079881132559,0.12244827398428605,-0.001899285898546231,-0.0001080691888469057,624,26,267
D7_placebo,NO5|Bestilt sent|Husholdning Medium,Bestilt sent,-0.00188809655108102,0.001267472464514603,0.14882382101903496,-0.001899285898546231,1.1189347465211108e-05,624,26,267
D7_placebo,NO5|Bestilt tidlig|Husholdning Høy,Bestilt tidlig,-0.0018147731579958304,0.0012572475199458678,0.16130880850399062,-0.001899285898546231,8.451274055040064e-05,624,26,267
D7_placebo,NO5|Bestilt tidlig|Husholdning Lav,Bestilt tidlig,-0.0018799594284324428,0.0012588943086076034,0.14786224697317774,-0.001899285898546231,1.932647011378824e-05,624,26,267
D7_placebo,NO5|Bestilt tidlig|Husholdning Medium,Bestilt tidlig,-0.0018449005565273069,0.0012578416990193671,0.15491992945531158,-0.001899285898546231,5.438534201892414e-05,624,26,267
D7_placebo,NO5|Ikke bestilt|Husholdning Høy,Ikke bestilt,-0.00192191963231636,0.0012936446048200936,0.14987071177056774,-0.001899285898546231,-2.263373377012906e-05,624,26,267
D7_placebo,NO5|Ikke bestilt|Husholdning Lav,Ikke bestilt,-0.0020128424423901947,0.0012858246979664475,0.13005843043365903,-0.001899285898546231,-0.00011355654384396369,624,26,267
D7_placebo,NO5|Ikke bestilt|Husholdning Medium,Ikke bestilt,-0.0017731415500676917,0.001318495371252922,0.19075729655112741,-0.001899285898546231,0.00012614434847853934,624,26,267
